,year,yearcode,countryname,countrycode,prop_urbanpopulation
0,2020,YR2020,Afghanistan,AFG,26.026
1,2020,YR2020,Africa Eastern and Southern,AFE,36.8283008
2,2020,YR2020,Africa Western and Central,AFW,47.85783102
3,2020,YR2020,Albania,ALB,62.112
4,2020,YR2020,Algeria,DZA,73.733
5,2020,YR2020,American Samoa,ASM,87.153
6,2020,YR2020,Andorra,AND,87.916
7,2020,YR2020,Angola,AGO,66.825
8,2020,YR2020,Antigua and Barbuda,ATG,24.433
9,2020,YR2020,Arab World,ARB,59.08761901
10,2020,YR2020,Argentina,ARG,92.111
11,2020,YR2020,Armenia,ARM,63.313
12,2020,YR2020,Aruba,ABW,43.697
13,2020,YR2020,Australia,AUS,86.241
14,2020,YR2020,Austria,AUT,58.748
15,2020,YR2020,Azerbaijan,AZE,56.397
16,2020,YR2020,"Bahamas, The",BHS,83.245
17,2020,YR2020,Bahrain,BHR,89.506
18,2020,YR2020,Bangladesh,BGD,38.177
19,2020,YR2020,Barbados,BRB,31.191
20,2020,YR2020,Belarus,BLR,79.483
21,2020,YR2020,Belgium,BEL,98.079
22,2020,YR2020,Belize,BLZ,46.025
23,2020,YR2020,Benin,BEN,48.415
24,2020,YR2020,Bermuda,BMU,100.0
25,2020,YR2020,Bhutan,BTN,42.316
26,2020,YR2020,Bolivia,BOL,70.123
27,2020,YR2020,Bosnia and Herzegovina,BIH,49.02
28,2020,YR2020,Botswana,BWA,70.877
29,2020,YR2020,Brazil,BRA,87.073
30,2020,YR2020,British Virgin Islands,VGB,48.515
31,2020,YR2020,Brunei Darussalam,BRN,78.25
32,2020,YR2020,Bulgaria,BGR,75.686
33,2020,YR2020,Burkina Faso,BFA,30.607
34,2020,YR2020,Burundi,BDI,13.708
35,2020,YR2020,Cabo Verde,CPV,66.652
36,2020,YR2020,Cambodia,KHM,24.232
37,2020,YR2020,Cameroon,CMR,57.56
38,2020,YR2020,Canada,CAN,81.562
39,2020,YR2020,Caribbean small states,CSS,51.60437291
40,2020,YR2020,Cayman Islands,CYM,100.0
41,2020,YR2020,Central African Republic,CAF,42.198
42,2020,YR2020,Central Europe and the Baltics,CEB,62.56145424
43,2020,YR2020,Chad,TCD,23.52
44,2020,YR2020,Channel Islands,CHI,30.963
45,2020,YR2020,Chile,CHL,87.727
46,2020,YR2020,China,CHN,61.428
47,2020,YR2020,Colombia,COL,81.425
48,2020,YR2020,Comoros,COM,29.38
49,2020,YR2020,"Congo, Dem. Rep.",COD,45.638
50,2020,YR2020,"Congo, Rep.",COG,67.829
51,2020,YR2020,Costa Rica,CRI,80.771
52,2020,YR2020,Cote d'Ivoire,CIV,51.706
53,2020,YR2020,Croatia,HRV,57.553
54,2020,YR2020,Cuba,CUB,77.194
55,2020,YR2020,Curacao,CUW,89.062
56,2020,YR2020,Cyprus,CYP,66.821
57,2020,YR2020,Czechia,CZE,74.061
58,2020,YR2020,Denmark,DNK,88.116
59,2020,YR2020,Djibouti,DJI,78.062
60,2020,YR2020,Dominica,DMA,71.09
61,2020,YR2020,Dominican Republic,DOM,82.54
62,2020,YR2020,Early-demographic dividend,EAR,45.87273224
63,2020,YR2020,East Asia & Pacific,EAS,60.69872843
64,2020,YR2020,East Asia & Pacific (excluding high income),EAP,57.49557346
65,2020,YR2020,East Asia & Pacific (IDA & IBRD countries),TEA,57.43471789
66,2020,YR2020,Ecuador,ECU,64.166
67,2020,YR2020,"Egypt, Arab Rep.",EGY,42.783
68,2020,YR2020,El Salvador,SLV,73.444
69,2020,YR2020,Equatorial Guinea,GNQ,73.1
70,2020,YR2020,Eritrea,ERI,41.347
71,2020,YR2020,Estonia,EST,69.229
72,2020,YR2020,Eswatini,SWZ,24.171
73,2020,YR2020,Ethiopia,ETH,21.695
74,2020,YR2020,Euro area,EMU,77.46390555
75,2020,YR2020,Europe & Central Asia,ECS,72.60995045
76,2020,YR2020,Europe & Central Asia (excluding high income),ECA,67.98832188
77,2020,YR2020,Europe & Central Asia (IDA & IBRD countries),TEC,66.66484145
78,2020,YR2020,European Union,EUU,74.96054007
79,2020,YR2020,Faroe Islands,FRO,42.398
80,2020,YR2020,Fiji,FJI,57.247
81,2020,YR2020,Finland,FIN,85.517
82,2020,YR2020,Fragile and conflict affected situations,FCS,43.6440886
